arm,categories,neuron,alpha,n_tokens,n_fire_neuron,units_excluded_min_fire,untrained,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s,formula,formula_cov,n_and,n_or,n_not,or_categories,max_same_cat_or,n_fires,n_inter,arm_label,precision,lift,normalised_fit,iou_indep,iou_over_d,timed_out,anchored,phase
all categories (token regime),lemma+tag+dep+ent+synset+const,unit86,0.05,24199,882,7,False,0.03645,4,200,3.189,0.858,108,244,no,440,659,6803,0.2037,1.32,(((lemma=. AND (NOT const=NP)) OR tag=NN) AND dep=nsubj),0.0514,2,1,1,tag,1,1245,360,trained,0.2892,7.933,0.2623,0.0218,5.5885,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit87,0.05,24199,1209,7,False,0.04996,4,200,3.189,0.858,108,251,no,463,533,5553,0.0708,1.19,(((const=PP AND (NOT tag=NN)) OR dep=punct) AND (NOT const=NP)),0.1369,2,1,2,dep,1,3314,299,trained,0.0902,1.8059,0.0424,0.038,1.4171,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit91,0.05,24199,1210,7,False,0.05,4,200,3.189,0.858,108,247,no,425,463,5133,0.1046,1.12,(((const=NP AND dep=nsubj) OR tag=NN) AND (NOT const=PP)),0.1346,2,1,1,tag,1,3257,423,trained,0.1299,2.5975,0.0841,0.0378,2.092,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit395,0.05,24199,1208,7,False,0.04992,4,200,3.189,0.858,108,244,no,331,512,5425,0.0815,0.81,(((const=VP AND dep=ROOT) AND (NOT const=NP)) OR dep=nsubj),0.1441,2,1,1,dep,1,3488,354,trained,0.1015,2.0331,0.0543,0.0385,1.6326,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit412,0.05,24199,1208,7,False,0.04992,4,200,3.189,0.858,108,247,no,632,534,5755,0.0982,1.66,(((tag=IN AND (NOT dep=punct)) OR lemma=.) AND (NOT const=VP)),0.1035,2,1,2,lemma,1,2504,332,trained,0.1326,2.656,0.087,0.0349,1.9671,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.1,24199,2201,0,False,0.09095,4,200,3.189,0.858,108,249,no,246,549,5805,0.1791,0.73,(((const=NP AND dep=nsubj) OR tag=NN) AND (NOT const=PP)),0.1346,2,1,1,tag,1,3257,829,trained,0.2545,2.7986,0.1799,0.0574,1.9692,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.1,24199,2420,0,False,0.1,4,200,3.189,0.858,108,247,no,306,577,5879,0.1654,0.83,(((tag=NN OR dep=pobj) AND const=PP) OR lemma=.),0.2129,1,2,0,dep+lemma+tag,1,5153,1075,trained,0.2086,2.0862,0.1207,0.073,1.654,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.1,24199,2310,0,False,0.09546,4,200,3.189,0.858,108,249,no,465,528,5571,0.1271,1.01,(((const=PP AND (NOT tag=NN)) OR dep=pobj) AND (NOT lemma=a)),0.3431,2,1,2,dep,1,8303,1197,trained,0.1442,1.5102,0.0538,0.0807,1.3314,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.1,24199,632,0,False,0.02612,4,200,3.189,0.858,108,247,no,588,449,4891,0.0909,1.22,(((tag=NN AND (NOT const=PP)) OR dep=ROOT) AND (NOT const=VP)),0.0819,2,1,2,dep,1,1983,218,trained,0.1099,4.2088,0.0861,0.0202,3.4801,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.1,24199,2419,0,False,0.09996,4,200,3.189,0.858,108,251,no,417,531,5461,0.1289,1.09,(((const=NP AND const=PP) OR dep=punct) AND (NOT tag=NN)),0.3102,2,1,1,dep,1,7506,1133,trained,0.1509,1.5101,0.0566,0.0818,1.2895,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.2,24199,3111,0,False,0.12856,4,200,3.189,0.858,108,249,no,174,592,5954,0.2538,0.62,(((const=NP AND tag=NN) OR dep=nsubj) AND (NOT const=PP)),0.1356,2,1,1,dep,1,3282,1294,trained,0.3943,3.0668,0.3049,0.0707,1.9742,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.2,24199,4838,0,False,0.19993,4,200,3.189,0.858,108,250,no,266,621,6204,0.2578,0.88,(((const=PP AND (NOT dep=det)) AND (NOT lemma=a)) OR lemma=.),0.4041,2,1,2,lemma,1,9778,2996,trained,0.3064,1.5325,0.1331,0.1544,1.2895,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.2,24199,4829,0,False,0.19955,4,200,3.189,0.858,108,255,no,166,603,6192,0.2235,0.81,(NOT synset=angstrom.n.01),0.8884,0,0,1,,0,21498,4816,trained,0.224,1.1226,0.0306,0.1947,1.12,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.2,24199,4840,0,False,0.20001,4,200,3.189,0.858,108,245,no,73,574,5739,0.4174,0.61,(((dep=det OR dep=ROOT) AND (NOT const=VP)) OR dep=nsubj),0.1767,1,2,1,dep+dep+dep,2,4277,2685,trained,0.6278,3.1387,0.5347,0.1035,2.0869,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.2,24199,4840,0,False,0.20001,4,200,3.189,0.858,108,255,no,227,598,5773,0.2107,0.89,(NOT dep=nsubj),0.922,0,0,1,,0,22311,4751,trained,0.2129,1.0647,0.0162,0.1967,1.0534,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.5,24199,12097,0,False,0.4999,4,200,3.189,0.858,108,254,no,378,622,6336,0.4833,0.97,(NOT tag=IN),0.8739,0,0,1,,0,21147,10867,trained,0.5139,1.028,0.028,0.4663,0.9668,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.5,24199,12053,0,False,0.49808,4,200,3.189,0.858,108,254,no,262,623,6454,0.4817,0.99,(NOT dep=det),0.8323,0,0,1,,0,20141,10583,trained,0.5254,1.0549,0.0545,0.4527,0.9671,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.5,24199,12097,0,False,0.4999,4,200,3.189,0.858,108,254,no,212,620,6405,0.5041,0.66,(NOT tag=IN),0.8739,0,0,1,,0,21147,11243,trained,0.5317,1.0635,0.0635,0.4663,1.0084,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.5,24199,12098,0,False,0.49994,4,200,3.189,0.858,108,254,no,239,602,6293,0.5061,0.77,(NOT dep=pobj),0.8793,0,0,1,,0,21277,11298,trained,0.531,1.0621,0.0621,0.4678,1.0123,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.5,24199,12047,0,False,0.49783,4,200,3.189,0.858,108,254,no,164,593,6033,0.4739,0.63,(((dep=punct OR dep=ROOT) AND (NOT const=PP)) OR const=NP),0.8025,1,2,1,const+dep+dep,2,19420,10117,trained,0.521,1.0465,0.0461,0.4435,0.9519,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.05,24199,1208,0,True,0.04992,4,200,3.189,0.858,108,249,no,497,519,5586,0.0913,1.09,(((const=PP AND (NOT tag=IN)) OR dep=pobj) AND (NOT tag=DT)),0.2189,2,1,2,dep,1,5296,544,untrained,0.1027,2.0577,0.0556,0.0424,1.8289,no,no,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.05,24199,1210,0,True,0.05,4,200,3.189,0.858,108,247,no,468,469,5106,0.1176,1.26,(((const=PP AND dep=punct) OR tag=NN) AND (NOT const=VP)),0.1059,2,1,1,tag,1,2563,397,untrained,0.1549,3.0979,0.1104,0.0352,2.352,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.05,24199,1208,0,True,0.04992,4,200,3.189,0.858,108,251,no,550,495,5305,0.0712,1.33,(NOT const=NP),0.3339,0,0,1,,0,8079,592,untrained,0.0733,1.4679,0.0246,0.0454,1.4263,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.05,24199,1210,0,True,0.05,4,200,3.189,0.858,108,250,no,509,660,6815,0.086,1.54,(const=VP AND (NOT const=NP)),0.2286,1,0,1,,0,5533,534,untrained,0.0965,1.9302,0.049,0.0428,1.72,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.05,24199,1141,0,True,0.04715,4,200,3.189,0.858,108,247,no,478,502,5335,0.0684,1.1,(((const=NP AND tag=NN) OR dep=pobj) AND const=PP),0.1399,2,1,0,dep,1,3386,290,untrained,0.0856,1.8165,0.0404,0.0366,1.4507,no,yes,A-beam
all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.1,24199,2420,0,True,0.1,4,200,3.189,0.858,108,250,no,508,536,5611,0.1381,1.17,(((const=PP AND (NOT dep=prep)) OR dep=ROOT) AND (NOT tag=DT)),0.2944,2,1,2,dep,1,7124,1158,untrained,0.1625,1.6255,0.0695,0.0807,1.381,no,no,A-beam
