arm,alpha,unit,density_run,beam,algo,beam_IoU,exact_IoU,beam_cov,exact_cov,no_solution,same_mask,beam_visited,exact_visited,beam_expanded,exact_expanded,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
trained,0.2,unit88,0.12856,5,beam_optimal,0.2545,0.2522,0.0855,0.1417,0,0,68,398,15,434,0.02,0.48,no,no,((dep=nsubj OR dep=ROOT) AND const=NP),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,10,beam_optimal,0.2545,0.2522,0.0855,0.1417,0,0,93,398,24,434,0.02,0.48,no,no,((dep=nsubj OR dep=ROOT) AND const=NP),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,25,beam_optimal,0.2545,0.2522,0.0855,0.1417,0,0,182,398,38,434,0.05,0.48,no,no,((dep=nsubj OR dep=ROOT) AND const=NP),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,50,beam_optimal,0.2545,0.2522,0.0855,0.1417,0,0,306,398,62,434,0.08,0.48,no,no,((dep=nsubj OR dep=ROOT) AND const=NP),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,100,beam_optimal,0.2545,0.2522,0.0855,0.1417,0,0,476,398,110,434,0.16,0.48,no,no,((dep=nsubj OR dep=ROOT) AND const=NP),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,200,beam_optimal,0.2545,0.2522,0.0855,0.1417,0,0,561,398,205,434,0.27,0.48,no,no,((dep=nsubj OR dep=ROOT) AND const=NP),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit92,0.19993,5,beam_optimal,0.2578,0.2578,0.4041,0.4041,0,1,121,506,15,437,0.02,0.98,no,no,((const=PP OR lemma=.) AND (NOT tag=DT)),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,10,beam_optimal,0.2578,0.2578,0.4041,0.4041,0,1,204,506,23,437,0.03,0.98,no,no,((const=PP OR lemma=.) AND (NOT tag=DT)),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,25,beam_optimal,0.2578,0.2578,0.4041,0.4041,0,1,354,506,38,437,0.06,0.98,no,no,((const=PP OR lemma=.) AND (NOT tag=DT)),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,50,beam_optimal,0.2578,0.2578,0.4041,0.4041,0,1,509,506,61,437,0.1,0.98,no,no,((const=PP OR lemma=.) AND (NOT tag=DT)),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,100,beam_optimal,0.2578,0.2578,0.4041,0.4041,0,1,724,506,108,437,0.17,0.98,no,no,((const=PP OR lemma=.) AND (NOT tag=DT)),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,200,beam_optimal,0.2578,0.2578,0.4041,0.4041,0,1,831,506,202,437,0.28,0.98,no,no,((const=PP OR lemma=.) AND (NOT tag=DT)),((const=PP AND (NOT tag=DT)) OR lemma=.)
