arm,alpha,unit,density_run,n_fire_neuron,beam_IoU,exact_IoU,beam_cov,exact_cov,beam_lift,exact_lift,rel_gain_lift_pct,rel_gain_iou_pct,cov_ratio_exact_over_beam,beam_precision,exact_precision,beam_recall,exact_recall,beam_n_fires,exact_n_fires,beam_n_inter,exact_n_inter,exact_nfit,beam_nfit,visited,expanded,peak_frontier,time_s,halted,exact_formula,beam_formula
trained,0.2,unit413,0.20001,4840,0.4174,0.4894,0.1767,0.214,3.1387,3.1781,1.26,17.25,1.2111,0.6278,0.6356,0.5548,0.6802,4277.0,5179.0,2685.0,3292.0,0.5445,0.5347,2063.0,4982.0,8239.0,23.21,no,(((const=NP AND (NOT const=VP)) AND (NOT const=PP)) AND (NOT dep=punct)),(((dep=det OR dep=ROOT) AND (NOT const=VP)) OR dep=nsubj)
trained,0.2,unit88,0.12856,3111,0.2538,0.261,0.1356,0.2236,3.0668,2.5353,-17.33,2.84,1.649,0.3943,0.3259,0.4159,0.567,3282.0,5412.0,1294.0,1764.0,0.2265,0.3049,13868.0,8438.0,10569.0,294.37,no,(((const=NP AND (NOT const=PP)) AND (NOT tag=DT)) AND (NOT dep=punct)),(((const=NP AND tag=NN) OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit92,0.19993,4838,0.2578,0.2644,0.4041,0.2886,1.5325,1.7704,15.52,2.56,0.7142,0.3064,0.354,0.6193,0.511,9778.0,6984.0,2996.0,2472.0,0.1925,0.1331,16554.0,7600.0,15593.0,445.87,no,(((const=PP AND (NOT tag=IN)) OR lemma=.) AND (NOT tag=DT)),(((const=PP AND (NOT dep=det)) AND (NOT lemma=a)) OR lemma=.)
trained,0.1,unit396,0.09546,2310,0.1271,0.1463,0.3431,0.2428,1.5102,1.863,23.36,15.11,0.7077,0.1442,0.1778,0.5182,0.4524,8303.0,5876.0,1197.0,1045.0,0.0911,0.0538,21343.0,7775.0,18280.0,687.02,no,(((const=PP AND (NOT tag=IN)) AND (NOT synset=angstrom.n.01)) AND (NOT dep=punct)),(((const=PP AND (NOT tag=NN)) OR dep=pobj) AND (NOT lemma=a))
trained,0.1,unit413,0.02612,632,0.0909,0.0962,0.0819,0.0752,4.2088,4.5251,7.52,5.83,0.9182,0.1099,0.1182,0.3449,0.3402,1983.0,1819.0,218.0,215.0,0.0945,0.0861,11063.0,5040.0,6878.0,200.69,no,(((const=NP AND (NOT const=VP)) AND (NOT const=PP)) AND tag=NN),(((tag=NN AND (NOT const=PP)) OR dep=ROOT) AND (NOT const=VP))
trained,0.1,unit510,0.09996,2419,0.1289,,0.3102,,1.5101,,,,,0.1509,,0.4684,,7506.0,,1133.0,,,0.0566,-1.0,-1.0,33957.0,1514.55,time,,(((const=NP AND const=PP) OR dep=punct) AND (NOT tag=NN))
trained,0.1,unit88,0.09095,2201,0.1791,0.191,0.1346,0.2236,2.7986,2.4806,-11.36,6.64,1.6612,0.2545,0.2256,0.3766,0.5547,3257.0,5412.0,829.0,1221.0,0.1481,0.1799,15583.0,9255.0,11448.0,400.75,no,(((const=NP AND (NOT const=PP)) AND (NOT tag=DT)) AND (NOT dep=punct)),(((const=NP AND dep=nsubj) OR tag=NN) AND (NOT const=PP))
trained,0.1,unit92,0.1,2420,0.1654,0.1689,0.2129,0.2886,2.0862,1.9459,-6.73,2.12,1.3556,0.2086,0.1946,0.4442,0.5616,5153.0,6984.0,1075.0,1359.0,0.1051,0.1207,23530.0,8315.0,18164.0,886.77,no,(((const=PP OR lemma=.) AND (NOT dep=det)) AND (NOT tag=IN)),(((tag=NN OR dep=pobj) AND const=PP) OR lemma=.)
trained,0.05,unit395,0.04992,1208,0.0815,0.1079,0.1441,0.1605,2.0331,2.5588,25.86,32.39,1.1138,0.1015,0.1277,0.293,0.4106,3488.0,3883.0,354.0,496.0,0.0819,0.0543,19388.0,8279.0,14825.0,609.81,no,(((const=NP AND (NOT const=VP)) AND (NOT const=PP)) AND (NOT tag=DT)),(((const=VP AND dep=ROOT) AND (NOT const=NP)) OR dep=nsubj)
trained,0.05,unit412,0.04992,1208,0.0982,0.0985,0.1035,0.1027,2.656,2.6683,0.46,0.31,0.9923,0.1326,0.1332,0.2748,0.274,2504.0,2485.0,332.0,331.0,0.0877,0.087,23876.0,8437.0,13286.0,824.9,no,(((tag=IN AND dep=prep) OR lemma=.) AND (NOT const=VP)),(((tag=IN AND (NOT dep=punct)) OR lemma=.) AND (NOT const=VP))
trained,0.05,unit86,0.03645,882,0.2037,0.2203,0.0514,0.0595,7.933,7.9883,0.7,8.15,1.1576,0.2892,0.2912,0.4082,0.4751,1245.0,1439.0,360.0,419.0,0.2644,0.2623,7805.0,5196.0,6847.0,130.87,no,(((dep=ROOT OR dep=nsubj) AND const=NP) AND tag=NN),(((lemma=. AND (NOT const=NP)) OR tag=NN) AND dep=nsubj)
trained,0.05,unit87,0.04996,1209,0.0708,,0.1369,,1.8059,,,,,0.0902,,0.2473,,3314.0,,299.0,,,0.0424,-1.0,-1.0,42183.0,1500.15,time,,(((const=PP AND (NOT tag=NN)) OR dep=punct) AND (NOT const=NP))
trained,0.05,unit91,0.05,1210,0.1046,0.1111,0.1346,0.15,2.5975,2.6667,2.66,6.21,1.1144,0.1299,0.1333,0.3496,0.4,3257.0,3630.0,423.0,484.0,0.0877,0.0841,20354.0,7380.0,11248.0,603.45,no,(((const=NP AND dep=nsubj) OR dep=ROOT) AND (NOT const=PP)),(((const=NP AND dep=nsubj) OR tag=NN) AND (NOT const=PP))
untrained,0.2,unit396,0.20001,4840,0.248,0.2666,0.2627,0.2563,1.7502,1.8738,7.06,7.5,0.9756,0.3501,0.3748,0.4597,0.4802,6356.0,6201.0,2225.0,2324.0,0.2185,0.1876,21202.0,10271.0,27604.0,936.22,no,(((tag=NN OR lemma=a) AND (NOT const=PP)) OR lemma=.),(((const=NP AND lemma=a) OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,4840,0.2656,0.2733,0.2429,0.3603,1.913,1.6689,-12.76,2.9,1.4833,0.3826,0.3338,0.4647,0.6012,5878.0,8718.0,2249.0,2910.0,0.1672,0.2283,16521.0,9702.0,16353.0,427.26,no,(((tag=NN OR dep=det) AND (NOT lemma=a)) OR lemma=.),(((const=NP AND tag=NN) AND (NOT dep=nsubj)) OR lemma=.)
untrained,0.2,unit88,0.19997,4839,0.2256,0.2431,0.5637,0.7604,1.2472,1.2352,-0.96,7.76,1.3489,0.2494,0.247,0.703,0.9392,13641.0,18401.0,3402.0,4545.0,0.0588,0.0618,21546.0,9784.0,20912.0,810.17,no,(((const=NP OR const=VP) AND (NOT lemma=a)) AND (NOT dep=punct)),(((const=VP AND tag=NN) OR const=NP) AND (NOT lemma=a))
untrained,0.2,unit92,0.19993,4838,0.2721,0.3172,0.142,0.2532,2.5766,2.1555,-16.34,16.57,1.7831,0.5151,0.431,0.3659,0.5457,3436.0,6126.0,1770.0,2640.0,0.2887,0.394,6650.0,8619.0,21495.0,132.1,no,(((tag=NN OR lemma=a) AND (NOT const=VP)) OR dep=punct),((lemma=a OR dep=punct) AND (NOT const=VP))
untrained,0.1,unit396,0.1,2420,0.1409,0.1515,0.1245,0.1341,2.2278,2.2965,3.08,7.52,1.0771,0.2228,0.2297,0.2773,0.3079,3012.0,3244.0,671.0,745.0,0.1441,0.1364,24408.0,11106.0,24594.0,1026.76,no,(((dep=ROOT OR dep=nsubj) AND tag=NN) OR lemma=.),(((dep=det OR dep=nsubj) AND tag=NN) OR lemma=.)
untrained,0.1,unit413,0.09996,2419,0.1228,0.1545,0.2589,0.0668,1.5167,3.3429,120.41,25.81,0.258,0.1516,0.3342,0.3927,0.2232,6266.0,1616.0,950.0,540.0,0.2602,0.0574,25033.0,8853.0,26049.0,1069.57,no,(((tag=IN AND (NOT const=PP)) OR dep=det) AND (NOT lemma=a)),(((const=PP AND (NOT lemma=a)) OR tag=IN) AND (NOT tag=NN))
untrained,0.1,unit510,0.1,2420,0.1555,0.1555,0.1024,0.1024,2.6605,2.6605,0.0,0.0,1.0,0.266,0.266,0.2723,0.2723,2477.0,2477.0,659.0,659.0,0.1845,0.1845,25031.0,8542.0,18400.0,967.19,no,(((const=NP AND dep=pobj) OR lemma=.) AND (NOT const=VP)),(((const=NP AND dep=pobj) AND (NOT const=VP)) OR lemma=.)
untrained,0.1,unit88,0.1,2420,0.1381,0.1432,0.2944,0.4509,1.6255,1.5304,-5.85,3.69,1.5316,0.1625,0.153,0.4785,0.6901,7124.0,10912.0,1158.0,1670.0,0.0589,0.0695,26243.0,8340.0,17714.0,976.85,no,(((const=VP OR const=PP) AND (NOT dep=det)) AND (NOT dep=prep)),(((const=PP AND (NOT dep=prep)) OR dep=ROOT) AND (NOT tag=DT))
untrained,0.1,unit92,0.09996,2419,0.1941,0.1949,0.1904,0.1921,2.4793,2.4811,0.07,0.41,1.0089,0.2478,0.248,0.4721,0.4766,4608.0,4649.0,1142.0,1153.0,0.1645,0.1643,14479.0,7482.0,12467.0,334.58,no,(((tag=NN AND (NOT const=VP)) OR dep=punct) AND (NOT tag=IN)),(((const=NP AND tag=NN) AND (NOT const=VP)) OR dep=punct)
untrained,0.05,unit396,0.04992,1208,0.0712,,0.3339,,1.4679,,,,,0.0733,,0.4901,,8079.0,,592.0,,,0.0246,-1.0,-1.0,33703.0,1503.06,time,,(NOT const=NP)
untrained,0.05,unit413,0.05,1210,0.086,0.1084,0.2286,0.1654,1.9302,2.5481,32.01,26.05,0.7235,0.0965,0.1274,0.4413,0.4215,5533.0,4003.0,534.0,510.0,0.0815,0.049,27759.0,9141.0,22120.0,1309.93,no,(((const=VP AND (NOT const=NP)) OR tag=IN) AND (NOT const=PP)),(const=VP AND (NOT const=NP))
untrained,0.05,unit510,0.04715,1141,0.0684,,0.1399,,1.8165,,,,,0.0856,,0.2542,,3386.0,,290.0,,,0.0404,-1.0,-1.0,22229.0,2085.13,time,,(((const=NP AND tag=NN) OR dep=pobj) AND const=PP)
untrained,0.05,unit88,0.04992,1208,0.0913,0.0937,0.2189,0.2019,2.0577,2.1401,4.0,2.63,0.9223,0.1027,0.1068,0.4503,0.4321,5296.0,4886.0,544.0,522.0,0.0599,0.0556,21163.0,7530.0,13916.0,639.43,no,(((const=NP AND const=PP) AND (NOT tag=DT)) AND (NOT dep=prep)),(((const=PP AND (NOT tag=IN)) OR dep=pobj) AND (NOT tag=DT))
untrained,0.05,unit92,0.05,1210,0.1176,0.1206,0.1059,0.1193,3.0979,3.054,-1.42,2.55,1.1265,0.1549,0.1527,0.3281,0.3645,2563.0,2888.0,397.0,441.0,0.1081,0.1104,21966.0,7843.0,11322.0,718.61,no,(((tag=NN AND (NOT const=VP)) OR dep=punct) AND (NOT lemma=.)),(((const=PP AND dep=punct) OR tag=NN) AND (NOT const=VP))
