arm,alpha,unit,density_run,n_fire_neuron,beam_IoU,exact_IoU,beam_cov,exact_cov,beam_lift,exact_lift,rel_gain_lift_pct,rel_gain_iou_pct,cov_ratio_exact_over_beam,beam_precision,exact_precision,beam_recall,exact_recall,beam_n_fires,exact_n_fires,beam_n_inter,exact_n_inter,exact_nfit,beam_nfit,visited,expanded,peak_frontier,time_s,halted,exact_formula,beam_formula
trained,0.2,unit413,0.20001,4840,0.4689,0.4689,0.2281,0.2281,2.9959,2.9959,0.0,0.0,1.0,0.5992,0.5992,0.6833,0.6833,5519.0,5519.0,3307.0,3307.0,0.499,0.499,65.0,260.0,428.0,0.11,no,((const=NP AND (NOT const=VP)) AND (NOT const=PP)),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.2,unit88,0.12856,3111,0.2522,0.2522,0.1417,0.1417,2.9884,2.9884,0.0,0.0,1.0,0.3842,0.3842,0.4233,0.4233,3428.0,3428.0,1317.0,1317.0,0.2933,0.2933,398.0,434.0,531.0,0.49,no,((tag=NN OR dep=nsubj) AND (NOT const=PP)),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit92,0.19993,4838,0.2578,0.2578,0.4041,0.4041,1.5325,1.5325,0.0,0.0,1.0,0.3064,0.3064,0.6193,0.6193,9778.0,9778.0,2996.0,2996.0,0.1331,0.1331,506.0,437.0,991.0,0.89,no,((const=PP AND (NOT tag=DT)) OR lemma=.),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.1,unit396,0.09546,2310,0.1453,0.1453,0.2468,0.2468,1.8433,1.8433,0.0,0.0,1.0,0.176,0.176,0.455,0.455,5973.0,5973.0,1051.0,1051.0,0.089,0.089,717.0,443.0,1289.0,1.15,no,((const=PP AND (NOT tag=IN)) AND (NOT lemma=a)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit413,0.02612,632,0.0952,0.0952,0.077,0.077,4.457,4.457,0.0,0.0,1.0,0.1164,0.1164,0.3434,0.3434,1864.0,1864.0,217.0,217.0,0.0927,0.0927,340.0,319.0,412.0,0.38,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit510,0.09996,2419,0.1575,0.1575,0.1649,0.1649,2.1858,2.1858,0.0,0.0,1.0,0.2185,0.2185,0.3605,0.3605,3991.0,3991.0,872.0,872.0,0.1317,0.1317,866.0,608.0,1728.0,1.9,no,((const=PP AND tag=DT) OR dep=punct),((const=PP AND tag=DT) OR dep=punct)
trained,0.1,unit88,0.09095,2201,0.1816,0.1816,0.2386,0.2386,2.3342,2.3342,0.0,0.0,1.0,0.2123,0.2123,0.557,0.557,5775.0,5775.0,1226.0,1226.0,0.1335,0.1335,419.0,486.0,566.0,0.51,no,((const=NP AND (NOT const=PP)) AND (NOT tag=DT)),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit92,0.1,2420,0.1591,0.1593,0.1905,0.1938,2.0933,2.0836,-0.46,0.13,1.0173,0.2093,0.2084,0.3988,0.4037,4610.0,4689.0,965.0,977.0,0.1204,0.1215,677.0,471.0,962.0,1.07,no,(dep=pobj OR lemma=.),((const=PP AND dep=pobj) OR lemma=.)
trained,0.05,unit395,0.04992,1208,0.0833,0.0954,0.0876,0.2495,2.419,2.0938,-13.44,14.53,2.8482,0.1208,0.1045,0.2119,0.5224,2120.0,6037.0,256.0,631.0,0.0575,0.0746,585.0,477.0,819.0,1.0,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((tag=NN AND dep=ROOT) OR dep=nsubj)
trained,0.05,unit412,0.04992,1208,0.0981,0.0981,0.1037,0.1037,2.6497,2.6497,0.0,0.0,1.0,0.1323,0.1323,0.2748,0.2748,2510.0,2510.0,332.0,332.0,0.0867,0.0867,575.0,465.0,730.0,0.8,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((tag=IN AND (NOT const=VP)) OR lemma=.)
trained,0.05,unit86,0.03645,882,0.2068,0.2068,0.0501,0.0501,8.1196,8.1196,0.0,0.0,1.0,0.296,0.296,0.407,0.407,1213.0,1213.0,359.0,359.0,0.2693,0.2693,203.0,319.0,344.0,0.27,no,((const=NP AND tag=NN) AND dep=nsubj),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit87,0.04996,1209,0.0721,0.0721,0.1517,0.1517,1.7889,1.7889,0.0,0.0,1.0,0.0894,0.0894,0.2713,0.2713,3670.0,3670.0,328.0,328.0,0.0415,0.0415,1795.0,713.0,2441.0,5.52,no,((dep=prep AND (NOT const=NP)) OR dep=punct),((dep=prep AND (NOT const=NP)) OR dep=punct)
