arm,alpha,unit,density_run,n_fire_neuron,beam,beam_IoU,exact_IoU,beam_cov,exact_cov,same_mask,same_proxy,same_string,beam_peak,exact_peak,cap_bound,beam_visited,exact_visited,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
trained,0.2,unit88,0.12856,3111,5,0.2082,0.2522,0.1467,0.1417,0,0,0,46,531,1,4,398,0.01,0.47,no,no,((const=VP AND dep=ROOT) OR dep=nsubj),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,3111,10,0.1985,0.2522,0.2292,0.1417,0,0,0,46,531,1,4,398,0.01,0.47,no,no,((const=NP OR const=VP) AND tag=NN),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,3111,25,0.2522,0.2522,0.1417,0.1417,1,1,1,60,531,1,28,398,0.02,0.47,no,no,((tag=NN OR dep=nsubj) AND (NOT const=PP)),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,3111,50,0.2506,0.2522,0.1439,0.1417,0,0,0,85,531,1,59,398,0.05,0.47,no,no,((tag=NN AND (NOT const=PP)) OR dep=nsubj),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,3111,100,0.251,0.2522,0.0939,0.1417,0,0,0,135,531,1,118,398,0.1,0.47,no,no,((const=NP AND dep=ROOT) OR dep=nsubj),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit88,0.12856,3111,200,0.2522,0.2522,0.1417,0.1417,1,1,1,235,531,1,264,398,0.27,0.47,no,no,((tag=NN OR dep=nsubj) AND (NOT const=PP)),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit92,0.19993,4838,5,0.2389,0.2578,0.8309,0.4041,0,0,0,48,991,1,7,506,0.01,0.88,no,no,(NOT tag=DT),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,4838,10,0.1979,0.2578,0.166,0.4041,0,0,0,53,991,1,9,506,0.01,0.88,no,no,((tag=NN AND dep=pobj) OR lemma=.),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,4838,25,0.2061,0.2578,0.3821,0.4041,0,0,0,70,991,1,22,506,0.02,0.88,no,no,((const=VP AND const=PP) OR dep=punct),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,4838,50,0.2389,0.2578,0.8309,0.4041,0,0,0,94,991,1,53,506,0.05,0.88,no,no,(NOT tag=DT),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,4838,100,0.2404,0.2578,0.5499,0.4041,0,0,0,144,991,1,160,506,0.14,0.88,no,no,((const=VP AND (NOT tag=DT)) OR lemma=.),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit92,0.19993,4838,200,0.2578,0.2578,0.4041,0.4041,1,1,1,244,991,1,187,506,0.25,0.88,no,no,((const=PP AND (NOT tag=DT)) OR lemma=.),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit413,0.20001,4840,5,0.3834,0.4689,0.3383,0.2281,0,0,0,55,428,1,10,65,0.01,0.11,no,no,((const=NP OR dep=nsubj) AND (NOT const=PP)),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.2,unit413,0.20001,4840,10,0.2992,0.4689,0.5922,0.2281,0,0,0,60,428,1,12,65,0.01,0.11,no,no,(NOT const=PP),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.2,unit413,0.20001,4840,25,0.2949,0.4689,0.2467,0.2281,0,0,0,75,428,1,19,65,0.02,0.11,no,no,((tag=DT OR synset=angstrom.n.01) OR dep=nsubj),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.2,unit413,0.20001,4840,50,0.3884,0.4689,0.1624,0.2281,0,0,0,100,428,1,45,65,0.05,0.11,no,no,((dep=det AND (NOT const=VP)) OR dep=nsubj),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.2,unit413,0.20001,4840,100,0.3884,0.4689,0.1624,0.2281,0,0,0,142,428,1,54,65,0.08,0.11,no,no,((dep=det AND (NOT const=VP)) OR dep=nsubj),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.2,unit413,0.20001,4840,200,0.4689,0.4689,0.2281,0.2281,1,1,1,242,428,1,56,65,0.13,0.11,no,no,((const=NP AND (NOT const=VP)) AND (NOT const=PP)),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit88,0.09095,2201,5,0.1301,0.1816,0.2292,0.2386,0,0,0,46,566,1,2,419,0.01,0.51,no,no,((const=NP OR const=VP) AND tag=NN),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit88,0.09095,2201,10,0.1301,0.1816,0.2292,0.2386,0,0,0,46,566,1,2,419,0.01,0.51,no,no,((const=NP OR const=VP) AND tag=NN),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit88,0.09095,2201,25,0.1663,0.1816,0.0876,0.2386,0,0,0,60,566,1,24,419,0.02,0.51,no,no,((tag=NN AND dep=ROOT) OR dep=nsubj),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit88,0.09095,2201,50,0.1739,0.1816,0.1439,0.2386,0,0,0,85,566,1,68,419,0.05,0.51,no,no,((tag=NN AND (NOT const=PP)) OR dep=nsubj),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit88,0.09095,2201,100,0.1739,0.1816,0.1439,0.2386,0,0,0,135,566,1,115,419,0.09,0.51,no,no,((tag=NN AND (NOT const=PP)) OR dep=nsubj),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit88,0.09095,2201,200,0.1816,0.1816,0.2386,0.2386,1,1,1,235,566,1,180,419,0.22,0.51,no,no,((const=NP AND (NOT const=PP)) AND (NOT tag=DT)),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit92,0.1,2420,5,0.146,0.1593,0.2,0.1938,0,0,0,43,962,1,2,677,0.01,1.07,no,no,((const=VP AND tag=NN) OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,10,0.1557,0.1593,0.2089,0.1938,0,0,0,48,962,1,9,677,0.01,1.07,no,no,(dep=pobj OR dep=punct),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,25,0.1593,0.1593,0.1938,0.1938,1,1,0,67,962,1,23,677,0.02,1.07,no,no,((dep=punct AND lemma=.) OR dep=pobj),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,50,0.1583,0.1593,0.1851,0.1938,0,0,0,90,962,1,66,677,0.05,1.07,no,no,((const=NP AND dep=pobj) OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,100,0.1593,0.1593,0.1938,0.1938,1,1,0,140,962,1,112,677,0.1,1.07,no,no,((dep=punct AND lemma=.) OR dep=pobj),(dep=pobj OR lemma=.)
trained,0.1,unit92,0.1,2420,200,0.1591,0.1593,0.1905,0.1938,0,0,0,240,962,1,195,677,0.25,1.07,no,no,((const=PP AND dep=pobj) OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit396,0.09546,2310,5,0.0991,0.1453,0.8948,0.2468,0,0,0,45,1289,1,2,717,0.01,1.16,no,no,(const=NP OR const=VP),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,10,0.1214,0.1453,0.4381,0.2468,0,0,0,50,1289,1,4,717,0.01,1.16,no,no,((const=VP OR const=PP) AND const=NP),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,25,0.1245,0.1453,0.338,0.2468,0,0,0,74,1289,1,9,717,0.02,1.16,no,no,((const=PP OR dep=pobj) AND const=NP),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,50,0.1303,0.1453,0.5355,0.2468,0,0,0,104,1289,1,37,717,0.05,1.16,no,no,((const=NP AND (NOT lemma=a)) AND (NOT dep=punct)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,100,0.1334,0.1453,0.2813,0.2468,0,0,0,154,1289,1,90,717,0.12,1.16,no,no,((const=NP AND const=VP) AND (NOT lemma=a)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit396,0.09546,2310,200,0.1453,0.1453,0.2468,0.2468,1,1,1,254,1289,1,269,717,0.32,1.16,no,no,((const=PP AND (NOT tag=IN)) AND (NOT lemma=a)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit413,0.02612,632,5,0.0834,0.0952,0.0501,0.077,0,0,0,34,412,1,2,340,0.01,0.38,no,no,((const=NP AND tag=NN) AND dep=nsubj),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
