arm,alpha,unit,in_grammar_max,baseline_iou,forced_iou,baseline_missed,forced_missed,delta_iou,baseline_time_s,forced_time_s,baseline_visited,forced_visited,baseline_halted,forced_halted,baseline_formula,forced_formula
trained,0.2,unit88,0.25454105110196174,0.2522022213711222,0.2522022213711222,1,1,0.0,0.49,1.55,398,1012,no,no,((tag=NN OR dep=nsubj) AND (NOT const=PP)),((tag=NN OR dep=nsubj) AND (NOT const=PP))
trained,0.2,unit92,0.25783132530120484,0.25783132530120484,0.25783132530120484,0,0,0.0,0.9,1.98,506,859,no,no,((const=PP AND (NOT tag=DT)) OR lemma=.),((const=PP AND (NOT tag=DT)) OR lemma=.)
trained,0.2,unit413,0.4689449801474759,0.4689449801474759,0.4689449801474759,0,0,0.0,0.11,0.18,65,71,no,no,((const=NP AND (NOT const=VP)) AND (NOT const=PP)),((const=NP AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit88,0.18162962962962964,0.18162962962962964,0.18162962962962964,0,0,0.0,0.52,1.59,419,997,no,no,((const=NP AND (NOT const=PP)) AND (NOT tag=DT)),((const=NP AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.1,unit92,0.15932811480756687,0.15932811480756687,0.15932811480756687,0,0,0.0,1.08,5.7,677,2168,no,no,(dep=pobj OR lemma=.),(dep=pobj OR lemma=.)
trained,0.1,unit396,0.1453263274336283,0.1453263274336283,0.1453263274336283,0,0,0.0,1.16,2.3,717,1049,no,no,((const=PP AND (NOT tag=IN)) AND (NOT lemma=a)),((const=PP AND (NOT tag=IN)) AND (NOT lemma=a))
trained,0.1,unit413,0.09521720052654672,0.09521720052654672,0.09521720052654672,0,0,0.0,0.38,1.42,340,983,no,no,((tag=NN AND (NOT const=VP)) AND (NOT const=PP)),((tag=NN AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit510,0.15745756590827015,0.15745756590827015,0.1477434679334917,0,1,-0.009714097974778457,2.02,15.52,866,3507,no,no,((const=PP AND tag=DT) OR dep=punct),((lemma=a OR dep=punct) AND (NOT tag=IN))
trained,0.05,unit86,0.21660649819494585,0.20679723502304148,0.20679723502304148,1,1,0.0,0.28,0.86,203,576,no,no,((const=NP AND tag=NN) AND dep=nsubj),((const=NP AND tag=NN) AND dep=nsubj)
trained,0.05,unit87,0.07207207207207207,0.07207207207207207,0.07205825986968187,0,1,-1.3812202390203754e-05,6.0,41.65,1795,6136,no,no,((dep=prep AND (NOT const=NP)) OR dep=punct),((tag=NN AND dep=pobj) OR dep=punct)
trained,0.05,unit91,0.10947749377968785,0.10947749377968785,0.10947749377968785,0,0,0.0,0.86,3.63,556,1706,no,no,((const=NP AND dep=nsubj) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit395,0.0954036891442395,0.0954036891442395,0.0954036891442395,0,0,0.0,1.07,4.1,585,1668,no,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit412,0.0980507974010632,0.0980507974010632,0.0980507974010632,0,0,0.0,0.92,5.52,575,2195,no,no,((tag=IN AND (NOT const=VP)) OR lemma=.),((tag=IN AND (NOT const=VP)) OR lemma=.)
untrained,0.2,unit88,0.23879198125488155,0.23879198125488155,0.23879198125488155,0,0,0.0,1.41,2.24,717,958,no,no,((const=NP OR const=VP) AND (NOT lemma=a)),((const=NP OR const=VP) AND (NOT lemma=a))
untrained,0.2,unit92,0.280018192844148,0.280018192844148,0.2640420399724328,0,1,-0.015976152871715166,0.51,1.19,291,578,no,no,((lemma=a AND (NOT const=VP)) OR dep=punct),((const=NP AND (NOT const=VP)) OR dep=punct)
