group,arm,categories,neuron,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s,formula,formula_cov,n_and,n_or,n_not,or_categories,max_same_cat_or
trained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit109,0.536,4,none,3.178,0.814,110,17724,no,5271,7206,67046,0.5304,85.09,(((const=NP OR const=VP) OR dep=nsubj) OR dep=punct),0.956,0,3,0,const+const+dep+dep,2
trained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit115,0.529,4,none,3.178,0.814,110,14881,no,3905,7098,65998,0.5331,48.38,(((const=NP AND (NOT const=PP)) OR const=VP) OR tag=IN),0.7884,1,2,1,const+tag,1
trained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit369,0.565,4,none,3.178,0.814,110,15491,no,4261,7096,66181,0.5913,55.04,(((const=VP OR const=PP) AND (NOT dep=nsubj)) OR dep=punct),0.7562,1,2,1,const+const+dep,2
trained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit389,0.494,4,none,3.178,0.814,110,19547,no,7105,7762,71908,0.5002,166.02,(((const=NP AND (NOT tag=DT)) OR const=VP) OR dep=punct),0.8587,1,2,1,const+dep,1
trained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit506,0.453,4,none,3.178,0.814,110,11614,no,5749,7487,68997,0.4643,91.55,(((const=NP OR const=VP) AND (NOT dep=prep)) OR dep=punct),0.8288,1,2,1,const+const+dep,2
untrained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit88,0.64,4,none,3.178,0.814,110,20062,no,8267,6654,62135,0.6489,171.82,(((const=NP AND (NOT tag=DT)) OR const=VP) OR const=PP),0.839,1,2,1,const+const,2
untrained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit92,0.626,4,none,3.178,0.814,110,13456,no,5978,6711,62794,0.6154,94.83,(((const=NP OR const=VP) OR const=PP) OR dep=punct),0.9541,0,3,0,const+const+const+dep,3
untrained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit396,0.623,4,none,3.178,0.814,110,17239,no,1440,6406,59328,0.6066,13.27,(((const=NP OR const=VP) OR dep=nsubj) OR dep=punct),0.956,0,3,0,const+const+dep+dep,2
untrained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit413,0.396,4,none,3.178,0.814,110,20222,time,-1,-1,-1,,302.58,,,,,,,
untrained,all categories (token regime),lemma+tag+dep+ent+synset+const,unit510,0.552,4,none,3.178,0.814,110,18760,no,7079,7285,68189,0.563,150.58,(((const=NP OR dep=punct) AND (NOT lemma=a)) OR const=VP),0.8803,1,2,1,const+const+dep,1
proxy,all categories (token regime),lemma+tag+dep+ent+synset+const,proxy,0.433,4,none,3.178,0.814,110,3085,no,505,3609,38109,0.9049,6.77,((dep=det OR tag=IN) OR dep=pobj),0.4236,0,2,0,dep+dep+tag,2
