arm,alpha,unit,in_grammar_max,part_iou,missed,bott_zero_frac,bott_min,visited,expanded,peak,time_s,halted,formula
trained,0.2,unit88,0.25454105110196174,0.2609853528628495,0,0.835,0,6853,8675,12621,120.22,no,(((const=NP AND (NOT const=PP)) AND (NOT tag=DT)) AND (NOT dep=punct))
trained,0.2,unit92,0.25783132530120484,0.26438502673796793,0,0.769,0,7622,7951,21858,173.52,no,(((const=PP OR lemma=.) AND (NOT dep=det)) AND (NOT tag=IN))
trained,0.2,unit413,0.4689449801474759,0.48937119072394825,0,0.8805,0,400,4812,8802,7.4,no,(((const=NP AND (NOT const=VP)) AND (NOT const=PP)) AND (NOT dep=punct))
trained,0.1,unit88,0.18162962962962964,0.19102002503128912,0,0.7595,0,7435,9439,13938,140.06,no,(((const=NP AND (NOT const=PP)) AND (NOT tag=DT)) AND (NOT dep=punct))
trained,0.1,unit92,0.15932811480756687,0.16892479801118707,0,0.689,0,13345,8553,21687,389.8,no,(((const=PP OR lemma=.) AND (NOT dep=det)) AND (NOT tag=IN))
trained,0.1,unit396,0.1453263274336283,0.14633804789245203,0,0.6665,0,9871,8016,30442,248.83,no,(((const=PP AND (NOT tag=IN)) AND (NOT synset=angstrom.n.01)) AND (NOT dep=punct))
trained,0.1,unit413,0.09521720052654672,0.09615384615384616,0,0.6235,0,4160,4334,7667,60.29,no,(((const=NP AND tag=NN) AND (NOT const=VP)) AND (NOT const=PP))
trained,0.1,unit510,0.15745756590827015,0.16722408026755853,0,0.702,0,17771,12105,42986,741.38,no,(((const=VP OR const=PP) AND dep=det) OR dep=punct)
trained,0.05,unit86,0.21660649819494585,0.2202944269190326,0,0.6845,0,4524,5035,8231,68.92,no,(((dep=ROOT OR dep=nsubj) AND const=NP) AND tag=NN)
trained,0.05,unit87,0.07207207207207207,nan,-1,0.623,0,-1,-1,51668,1505.95,time,
trained,0.05,unit91,0.10947749377968785,0.1111111111111111,0,0.6765,0,11328,7471,13613,265.96,no,(((const=NP AND dep=nsubj) OR dep=ROOT) AND (NOT const=PP))
trained,0.05,unit395,0.0954036891442395,0.10794341675734494,0,0.657,0,10450,8448,19490,331.61,no,(((const=NP AND (NOT const=VP)) AND (NOT const=PP)) AND (NOT tag=DT))
trained,0.05,unit412,0.0980507974010632,0.09845330160618679,0,0.664,0,12924,8192,14558,408.2,no,(((tag=IN AND dep=prep) OR lemma=.) AND (NOT const=VP))
untrained,0.2,unit88,0.23879198125488155,0.24311313185343675,0,0.7795,0,9374,10245,35597,318.84,no,(((const=NP OR const=VP) AND (NOT synset=angstrom.n.01)) AND (NOT dep=punct))
untrained,0.2,unit92,0.280018192844148,0.31715521383950024,0,0.897,0,2254,9369,26782,50.69,no,(((tag=NN OR lemma=a) AND (NOT const=VP)) OR dep=punct)
untrained,0.2,unit396,0.25183038438072,0.2666054835379144,0,0.872,0,11253,10944,33733,506.69,no,(((tag=NN OR lemma=a) AND (NOT const=PP)) OR lemma=.)
untrained,0.2,unit510,0.2713324094238765,0.2732907588279489,0,0.9295,0,8160,9986,19030,174.08,no,(((tag=NN OR dep=det) AND (NOT lemma=a)) OR lemma=.)
untrained,0.1,unit88,0.13526933493830876,0.14320013719773625,0,0.697,0,12739,8619,29843,487.86,no,(((const=VP OR const=PP) AND (NOT dep=det)) AND (NOT dep=prep))
untrained,0.1,unit92,0.1947306198277318,0.19492814877430262,0,0.8095,0,5271,7768,14806,99.75,no,(((tag=NN AND (NOT const=VP)) OR dep=punct) AND (NOT tag=IN))
untrained,0.1,unit396,0.14863013698630137,0.15145354746899775,0,0.7905,0,9649,11665,31784,307.54,no,(((dep=ROOT OR dep=nsubj) AND tag=NN) OR lemma=.)
untrained,0.1,unit413,0.1444379161770466,0.15450643776824036,0,0.688,0,7785,9007,37588,238.33,no,(((tag=IN AND (NOT const=PP)) OR dep=det) AND (NOT lemma=a))
untrained,0.1,unit510,0.15440487347703843,0.15549787635677206,0,0.766,0,13041,8828,22231,398.28,no,(((const=NP AND dep=pobj) OR lemma=.) AND (NOT const=VP))
untrained,0.05,unit88,0.09189655172413794,0.0936826992103374,0,0.6435,0,8980,7608,23708,235.29,no,(((const=NP AND const=PP) AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.05,unit92,0.11670203091846014,0.12059064807219032,0,0.7125,0,10227,7797,14685,247.19,no,(((tag=NN AND (NOT const=VP)) OR dep=punct) AND (NOT lemma=.))
untrained,0.05,unit396,0.07546454304133485,0.07917383820998279,0,0.683,0,23836,13317,45625,1329.55,no,(((const=VP AND dep=det) OR lemma=.) AND (NOT lemma=a))
untrained,0.05,unit413,0.10377358490566038,0.10844142036997662,0,0.6335,0,12120,9122,27652,334.82,no,(((const=VP AND (NOT const=NP)) OR tag=IN) AND (NOT const=PP))
untrained,0.05,unit510,0.07335772782714758,0.07566684812193794,0,0.6475,0,22581,9940,30343,1007.87,no,(((tag=NN OR dep=pobj) AND (NOT dep=ROOT)) AND (NOT dep=nsubj))
