arm,categories,neuron,density,length,beam,mean_overlap,common_frac,disjoint_pairs,peak_frontier,halted,visited,expanded,estimated,best_iou,time_s
all categories (token regime),lemma+tag+dep+ent+synset+const,unit89,0.527,4,100,4.204,0.977,1954,291,no,11,311,12512,0.4383,0.69
all categories (token regime),lemma+tag+dep+ent+synset+const,unit89,0.527,4,200,4.204,0.977,1954,391,no,65,690,27768,0.5257,1.54
all categories (token regime),lemma+tag+dep+ent+synset+const,unit89,0.527,4,500,4.204,0.977,1954,691,no,291,1525,55107,0.5257,4.64
all categories (token regime),lemma+tag+dep+ent+synset+const,unit89,0.527,4,1000,4.204,0.977,1954,1191,no,341,2510,95560,0.4992,11.34
all categories (token regime),lemma+tag+dep+ent+synset+const,unit397,0.519,4,100,4.204,0.977,1954,239,no,22,243,7316,0.3986,0.31
all categories (token regime),lemma+tag+dep+ent+synset+const,unit397,0.519,4,200,4.204,0.977,1954,365,no,13,1325,44903,0.541,2.38
all categories (token regime),lemma+tag+dep+ent+synset+const,unit397,0.519,4,500,4.204,0.977,1954,691,no,37,3686,130906,0.541,11.87
all categories (token regime),lemma+tag+dep+ent+synset+const,unit397,0.519,4,1000,4.204,0.977,1954,1188,no,52,5392,176692,0.541,25.47
all categories (token regime),lemma+tag+dep+ent+synset+const,unit415,0.369,4,100,4.204,0.977,1954,239,no,16,244,7527,0.315,0.31
all categories (token regime),lemma+tag+dep+ent+synset+const,unit415,0.369,4,200,4.204,0.977,1954,379,no,27,1273,41746,0.3804,2.25
all categories (token regime),lemma+tag+dep+ent+synset+const,unit415,0.369,4,500,4.204,0.977,1954,691,no,144,3687,128507,0.3836,11.66
all categories (token regime),lemma+tag+dep+ent+synset+const,unit415,0.369,4,1000,4.204,0.977,1954,1191,no,271,5194,168458,0.3836,24.45
